Search Term,Tweet Text,URL
propublica,"RT @EdwardNorton: Call out to all nonprofit conservation/climate/sustainability orgs: the #EarthDayChallenge is on.  $300,000 in prize http…",
propublica,"RT @Bode834: A5: join nonprofit orgs for committees, associations, young professional groups, a simple Google search will do ya #grandchat",
propublica,"RT @SmithsonianMag: Nonprofit, Ocearch naming tagged sharks, giving them Twitter, Instagram accounts to ease fears, aid in conservation. ht…",
propublica,"The CEO of Ascension, the NONPROFIT organization behind St. Vincent's of Birmingham, made $17.6 million in 2014. https://t.co/FQoGYqF502",http://bizj.us/1p31ph
propublica,"RT @J_Hancock: Nonprofit linked to @EricGreitens raises new questions about ‘dark money,’ ethics

https://t.co/WC4kAWdIUt #moleg",http://www.kansascity.com/news/politics-government/article137209643.html
propublica,"A5: join nonprofit orgs for committees, associations, young professional groups, a simple Google search will do ya #grandchat",
propublica,RT @kylegriffin1: AARP—the nation's largest nonprofit w/ 38MIL members—has officially come out against the Republican health plan. https://…,
propublica,"RT @Refinery29: Tweet about a women's nonprofit you care about, and tag @Tinder &amp; #FundHerCause for a $100 donation to that cause! #ad #R29…",
propublica,"Photos by @fromjefferson of Street Soccer Twin Cities Championship Cup in Minneapolis, put on by growing nonprofit.… https://t.co/Z3RpzQ9AnU",https://twitter.com/i/web/status/839653093348413440
propublica,@_SimplyMei the main thing would be funding you would have to put it down as a nonprofit organization and only take donations.,
propublica,RT @NetSuiteAPAC: Learn how #cloudERP has streamlined the day-to-day operations of social enterprise @TheoandPhilo. https://t.co/KCjWwjp7PF,http://bit.ly/2l1ZNMV
propublica,#luer lok fitting starting a nonprofit in pa,
propublica,"RT @EdwardNorton: Call out to all nonprofit conservation/climate/sustainability orgs: the #EarthDayChallenge is on.  $300,000 in prize http…",
propublica,"Why youth #philanthropy matters, and how to make it work https://t.co/uNFguylMfp #nonprofit #volunteering #NGO #ServiceLearning #highered",https://www.charityinfo.ca/articles/why-youth-philanthropy-matters-and-how-to-make-it-work
propublica,#Beauty is in the eye of the beholder.  So behold... #parrots #nonprofit #sanctuary #loveher #animalrescue https://t.co/hHbrk4z3Q6,
propublica,RT @WWExecSearch: Beverly Morgan of @WWExecSearch shares the #hiring complexities for #nonprofit executives https://t.co/J4dLqGfRZi #leader…,http://bit.ly/2mCXb7G
propublica,RT @kylegriffin1: AARP—the nation's largest nonprofit w/ 38MIL members—has officially come out against the Republican health plan. https://…,
propublica,"RT @J_Hancock: Nonprofit linked to @EricGreitens raises new questions about ‘dark money,’ ethics

https://t.co/WC4kAWdIUt #moleg",http://www.kansascity.com/news/politics-government/article137209643.html
propublica,Machine Learning is Marketing’s Future: 3 Ways How  https://t.co/Bkzy0QuYOF #nonprofit #machinelearning via npdigitaltoday,http://buff.ly/2lDt9EV
propublica,Basic Immigration Law Training for NonProfit and Community Volunteers https://t.co/7e5K17J7E9,http://www.thesomervilletimes.com/archives/74325
propublica,Machine Learning is Marketing’s Future: 3 Ways How  https://t.co/idRAfrVjh3 #nonprofit #machinelearning,http://buff.ly/2lDt9EV
propublica,RT @melissango: @HOHTweets was incorporated as a nonprofit by a working board of #women 👸🏻👸🏻👸🏻👸🏽👸🏻#IWD2017 🙌🏽 so proud to work along strong…,
propublica,Understanding articles of incorporation for new #NonProfit companies https://t.co/o3GdLV54Ed,http://ow.ly/Y6wA309EJXe
propublica,Why #NonProfit companies need strong #Marketing plans https://t.co/Vw73tyNAGV,http://ow.ly/kH2g309EJzo
propublica,Content Marketing advice for #NonProfit Organizations part 1 #ContentMarketing https://t.co/S9hdjr6GhT,http://ow.ly/Y0Z6309EJIy
propublica,Setting goals for your #NonProfit company https://t.co/wZ0wBeVvTa,http://ow.ly/griU309EJrw
propublica,RT @pndblog: The Most Compelling Argument For *Effective* Nonprofit Board-Matching https://t.co/d6Tg1Okdhh @huffingtonpost @alicekorngold,http://ow.ly/k9RZ309HMVo
propublica,"RT @SmithsonianMag: Nonprofit, Ocearch naming tagged sharks, giving them Twitter, Instagram accounts to ease fears, aid in conservation. ht…",
propublica,Secret funder in an #opioid #advocacy nonprofit @AORecovery could be very dangerous to public safety: https://t.co/lOS9R8kJ1X,http://hubs.ly/H06C0Kw0
propublica,First time participating in @bracketsforgood to support @IndyChamberOrch.  Support a nonprofit (preferably ICO) at https://t.co/r726dc9Lr8,https://indianapolis.bfg.org/
propublica,@alexandraerin Health care should be nonprofit.,
propublica,"RT @Refinery29: Tweet about a women's nonprofit you care about, and tag @Tinder &amp; #FundHerCause for a $100 donation to that cause! #ad #R29…",
propublica,Hey @Tinder support this women-full arts nonprofit @PlayhouseOnPark #FundHerCause,
propublica,"Three Greenbrier County Nonprofit Organizations Merge to Create Rental Housing Program 
https://t.co/SC8zbIG50K https://t.co/6DMtAdGhfJ",http://buff.ly/2lF00ZY
propublica,Prior to donating it's always a good idea to conduct due diligence of the #nonprofit via @CharityNav https://t.co/GbivJKycvU,https://twitter.com/CharityNav/status/839240215537549312
propublica,"RT @kiangoh: Let's be real: if all women went on strike, nonprofit &amp; ""service"" sectors would collapse, followed by everything else. #DayWit…",
propublica,@HOHTweets was incorporated as a nonprofit by a working board of #women 👸🏻👸🏻👸🏻👸🏽👸🏻#IWD2017 🙌🏽 so proud to work alon… https://t.co/WQpYuX2LjX,https://twitter.com/i/web/status/839651208683978752
propublica,".@PatTiberi @OhioDistrict12 What? ""Co-ops are failing because Congress has refused to fund a risk-abatement program"" https://t.co/ZYCKmqc77d",http://www.bizjournals.com/columbus/news/2016/05/26/ohio-shuts-down-states-obamacare-nonprofit-co-op.html
propublica,"Music nonprofit gets expanded, $12K space inside Metrocenter https://t.co/4Q5ktnqpVC #Phoenix",http://dlvr.it/NZZRWY
propublica,"Music nonprofit gets expanded, $12K space inside Metrocenter https://t.co/Z8Y7cpDMHn #Phoenix",http://dlvr.it/NZZRT8
propublica,"See our latest #Freeland, MD #job and click to apply: Case Manager RN - FT - https://t.co/TbgQ1O1FXT… https://t.co/d0wrWtpupv",http://bit.ly/2ltaR8w
propublica,Super excited to get this coverage on #internationalwomensday as a woman-founded #nonprofit! #shemeansbusiness… https://t.co/LqucH0id6I,https://twitter.com/i/web/status/839650935085268993
propublica,RT @kylegriffin1: AARP—the nation's largest nonprofit w/ 38MIL members—has officially come out against the Republican health plan. https://…,
